"id","user_id","section_id","score_data","completed_at","meta"
"29","22","9","{""completionRate"":100,""responsesProvided"":3}","2026-02-07 15:15:19.909758","{""completedAt"":""2026-02-07T15:15:19.040Z"",""totalResponses"":3}"
"30","22","10","{""completionRate"":100,""responsesProvided"":3}","2026-02-07 15:16:26.742842","{""completedAt"":""2026-02-07T15:16:26.433Z"",""totalResponses"":3}"
"31","22","11","{""completionRate"":100,""responsesProvided"":2}","2026-02-07 15:17:02.764656","{""completedAt"":""2026-02-07T15:17:02.471Z"",""totalResponses"":2}"
"32","22","12","{""completed"":true,""completedAt"":""2026-02-07T15:17:41.427Z"",""responsesCount"":9}","2026-02-07 15:17:41.743926","{""completedAt"":""2026-02-07T15:17:41.427Z"",""totalResponses"":9}"
"33","25","7","{""completionRate"":100,""responsesProvided"":4}","2026-02-08 13:56:52.054273","{""section"":""autodescubrimiento"",""completedAt"":""2026-02-08T13:56:50.356Z"",""totalSections"":3,""totalResponses"":4}"
"34","22","7","{""completionRate"":100,""responsesProvided"":4}","2026-02-09 13:40:29.585937","{""section"":""autodescubrimiento"",""completedAt"":""2026-02-09T13:40:28.638Z"",""totalSections"":3,""totalResponses"":4}"
"35","27","2","{""trueResponses"":73,""completionRate"":96.2566844919786,""falseResponses"":107,""totalResponses"":180,""personalityProfile"":{""extroversion"":""low""}}","2026-02-09 19:02:44.576374","{""section"":""mips"",""completedAt"":""2026-02-09T19:02:41.923Z"",""totalQuestions"":180,""totalResponses"":180}"
"36","27","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-02-09 19:08:11.126348","{""section"":""riasec"",""completedAt"":""2026-02-09T19:08:10.199Z"",""totalSections"":4,""totalResponses"":4}"
"37","27","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Oportunidades para probar cosas nuevas,Trabajar con comunicación,Producir y organizar,Planificar,Expresar mis ideasRecibir informaciones paso a paso,Visualizar rápidamente el cuadro general (el objetivo final),Tomar iniciativas,Confiar en las intuiciones,Hacer experiencias prácticasMateriales visuales,Experiencias,Debates estructurados por el instructor,Ejercicios que usan la intuición,Ejercicios de análisis¿Cómo?Descubrir,Organizar,Practicar,ReflexionarComprar un cocheLe da importancia a la 'sensación' de confort del vehículo,Verifica el tamaño del baúl del coche,Verifica si se encaja en su proyecto o sueño de vida,Se preocupa con las formas, el color y la tecnología,Lo compara con otros vehículosMe gusta DescubrirEmocional,Experimental,Sentimental,ActivoNo sabe concentrarse,Habla demasiado,Ingenuo,No decide solo,De corazón blandoMiro el panorama completo y confío en lo que me dice mi instinto para encontrar la soluciónUna visión analítica, lógica, racional, \""de resultados\"".Vamos a participar y motivar,Vamos a analizar,Vayamos al punto clave del problema""},""totalResponses"":14,""dominantQuadrant"":""experimental""}","2026-02-09 20:23:43.627227","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-02-09T20:23:41.673Z"",""totalResponses"":14}"
"38","27","5","{""intelligences"":{""musical"":0,""spatial"":0,""undefined"":""undefined[object Object][object Object][object Object][object Object][object Object][object Object][object Object][object Object]"",""linguistic"":0,""naturalistic"":0,""interpersonal"":0,""intrapersonal"":0,""bodilyKinesthetic"":0,""logicalMathematical"":0},""totalResponses"":8,""strongestIntelligence"":""undefined""}","2026-02-10 14:06:21.326016","{""section"":""gardner"",""completedAt"":""2026-02-10T14:06:19.621Z"",""totalResponses"":8,""totalIntelligences"":8}"
"39","28","2","{""trueResponses"":112,""completionRate"":96.2566844919786,""falseResponses"":68,""totalResponses"":180,""personalityProfile"":{""extroversion"":""high""}}","2026-02-10 21:23:51.953146","{""section"":""mips"",""completedAt"":""2026-02-10T21:23:49.097Z"",""totalQuestions"":180,""totalResponses"":180}"
"40","33","2","{""trueResponses"":90,""completionRate"":96.2566844919786,""falseResponses"":90,""totalResponses"":180,""personalityProfile"":{""extroversion"":""low""}}","2026-02-19 05:37:54.496024","{""section"":""mips"",""completedAt"":""2026-02-19T05:37:51.884Z"",""totalQuestions"":180,""totalResponses"":180}"
"41","33","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-02-19 15:24:38.057695","{""section"":""riasec"",""completedAt"":""2026-02-19T15:24:36.073Z"",""totalSections"":4,""totalResponses"":4}"
"42","33","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Tener el control de la situación,Oportunidades para probar cosas nuevas,Lidiar con el futuro,Expresar mis ideas,Analizar datosAplicar análisis y lógica,Elaborar teorías,Trabajar en grupo,Hacer experiencias prácticas,Adquirir habilidades por la prácticaMateriales visuales,Experiencias,Analizando números, datos y hechos,Agenda bien flexible,Discusiones de casos orientados hacia los números y hechos¿Por qué?Evaluar,Explorar,Cuantificar,AnalizarComprar un cocheLe da importancia a la 'sensación' de confort del vehículo,Verifica el tamaño del baúl del coche,Investiga y planea anticipadamente cómo va a utilizarlo,Analiza cómo el coche le será útil en el día a día,Quiere ver datos y estadísticas sobre el desempeñoMe gusta AnalizarExplorador,Analítico,Experimental,EvaluadorCuadrado,Calculista,Frío, insensible,Maniático por los números,Habla demasiadoOrganizo los \""hechos\"" tratando los detalles de forma realista y cronológica.Una visión analítica, lógica, racional, \""de resultados\"".Vamos a ver el cuadro general,Vamos a conocer el resultado,Vamos a analizar""},""totalResponses"":14,""dominantQuadrant"":""experimental""}","2026-02-19 15:39:46.534066","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-02-19T15:39:44.794Z"",""totalResponses"":14}"
"43","33","5","{""intelligences"":{""musical"":0,""spatial"":0,""undefined"":""undefined[object Object][object Object][object Object][object Object][object Object][object Object][object Object][object Object]"",""linguistic"":0,""naturalistic"":0,""interpersonal"":0,""intrapersonal"":0,""bodilyKinesthetic"":0,""logicalMathematical"":0},""totalResponses"":8,""strongestIntelligence"":""undefined""}","2026-02-19 15:52:56.162224","{""section"":""gardner"",""completedAt"":""2026-02-19T15:52:54.532Z"",""totalResponses"":8,""totalIntelligences"":8}"
"44","33","6","{""completionRate"":100,""responsesProvided"":64}","2026-02-19 16:08:57.40964","{""section"":""proyectivas"",""completedAt"":""2026-02-19T16:08:55.335Z"",""totalQuestions"":64,""totalResponses"":64}"
"45","33","7","{""completionRate"":100,""responsesProvided"":4}","2026-02-19 16:27:23.306629","{""section"":""autodescubrimiento"",""completedAt"":""2026-02-19T16:27:21.615Z"",""totalSections"":3,""totalResponses"":4}"
"46","33","11","{""completionRate"":100,""responsesProvided"":2}","2026-02-19 16:52:10.255544","{""completedAt"":""2026-02-19T16:52:08.325Z"",""totalResponses"":2}"
"47","33","10","{""completionRate"":100,""responsesProvided"":3}","2026-02-19 17:30:02.811083","{""completedAt"":""2026-02-19T17:30:00.667Z"",""totalResponses"":3}"
"48","33","9","{""completionRate"":100,""responsesProvided"":3}","2026-02-19 17:46:40.323357","{""completedAt"":""2026-02-19T17:46:38.517Z"",""totalResponses"":3}"
"49","33","12","{""completed"":true,""completedAt"":""2026-02-19T17:48:55.951Z"",""responsesCount"":9}","2026-02-19 17:48:56.326577","{""completedAt"":""2026-02-19T17:48:55.951Z"",""totalResponses"":9}"
"50","35","2","{""trueResponses"":83,""completionRate"":96.2566844919786,""falseResponses"":97,""totalResponses"":180,""personalityProfile"":{""extroversion"":""low""}}","2026-02-23 19:47:22.751682","{""section"":""mips"",""completedAt"":""2026-02-23T19:47:19.605Z"",""totalQuestions"":180,""totalResponses"":180}"
"51","35","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-02-23 19:54:18.983152","{""section"":""riasec"",""completedAt"":""2026-02-23T19:54:17.848Z"",""totalSections"":4,""totalResponses"":4}"
"52","35","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Trabajar solo,Ser parte de un equipo,Producir y organizar,Trabajar con personas,Crear o usar recursos visualesOír y compartir ideas,Pensar sobre las ideas,Recibir informaciones paso a paso,Elaborar teorías,Trabajar en grupoMateriales visuales,Demostraciones,Clases formales,Debate en grupo,Actividades paso a paso con orden claro¿Por qué?Organizar,Sentir,Ordenar,CompartirComprar un celularLo comprás porque es el que tienen todos tus amigos o el que te recomendaron,Te preocupa cuánto le dura la batería y que no te deje a gamba,Para vos la marca es clave; dice mucho de quién sos,Te importa muchísimo el diseño, los colores y que la cámara sea pro,Te importa que a los demás les parezca un buen equipo cuando lo veanMe gusta OrganizarOrganizado,Emocional,Sentimental,LógicoFácil de convencer,Vago,Ultrasensible,No sabe concentrarse,De corazón blandoSiento los \""hechos\"" y pienso en cómo nos afecta a todos y trato de resolverlo compartiendo lo que sentimosUna visión analítica, lógica, racional, \""de resultados\"".Siempre hacemos las cosas de esta forma,Vamos a mantener la ley y el orden,Es más seguro de esta forma""},""totalResponses"":14,""dominantQuadrant"":""experimental""}","2026-02-23 20:09:54.868678","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-02-23T20:09:53.042Z"",""totalResponses"":14}"
"53","35","5","{""intelligences"":{""musical"":0,""spatial"":0,""undefined"":""undefined[object Object][object Object][object Object][object Object][object Object][object Object][object Object][object Object]"",""linguistic"":0,""naturalistic"":0,""interpersonal"":0,""intrapersonal"":0,""bodilyKinesthetic"":0,""logicalMathematical"":0},""totalResponses"":8,""strongestIntelligence"":""undefined""}","2026-02-23 21:10:05.910311","{""section"":""gardner"",""completedAt"":""2026-02-23T21:10:04.349Z"",""totalResponses"":8,""totalIntelligences"":8}"
"54","35","7","{""completionRate"":100,""responsesProvided"":4}","2026-02-24 01:49:55.753339","{""section"":""autodescubrimiento"",""completedAt"":""2026-02-24T01:49:53.461Z"",""totalSections"":3,""totalResponses"":4}"
"55","10","2","{""trueResponses"":139,""completionRate"":96.2566844919786,""falseResponses"":41,""totalResponses"":180,""personalityProfile"":{""extroversion"":""high""}}","2026-03-01 21:12:56.180758","{""section"":""mips"",""completedAt"":""2026-03-01T21:12:24.547Z"",""totalQuestions"":180,""totalResponses"":180}"
"56","10","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-03-01 21:19:00.321013","{""section"":""riasec"",""completedAt"":""2026-03-01T21:18:58.636Z"",""totalSections"":4,""totalResponses"":4}"
"58","10","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Expresar mis ideas,Crear o usar recursos visuales,Provocar cambios,Aspectos técnicos,Usar números, estadísticasCriticar,Trabajar en grupo,Descubrir cosas nuevas,Orientaciones claras,Adquirir habilidades por la prácticaMétodos tradicionales comprobados,Discusiones de casos orientados hacia las personas,Discusiones de casos orientados hacia los números y hechos,Agenda bien flexible,Trabajos bien estructurados¿Quién?Conceptuar,Analizar,Practicar,SentirQuerés que 'te enamore' apenas lo veas; que tenga toda la onda,Sos de los que comparan mil modelos y miran reviews antes de decidir,Para vos la marca es clave; dice mucho de quién sos,Te encanta probar una marca o un sistema operativo que nunca usaste,Lo primero que mirás es cuánta memoria interna tiene para guardar todoMe gusta CompartirEmocional,Conceptual,Secuencial,PerceptivoIntolerante,Ingenuo,Vago,Ultrasensible,Sin disciplinaSiento los \""hechos\"" y pienso en cómo nos afecta a todos y trato de resolverlo compartiendo lo que sentimosUna visión interpersonal, emocional \""humana\"".Siempre hacemos las cosas de esta forma,Vayamos al punto clave del problema,Vamos a analizar""},""totalResponses"":12,""dominantQuadrant"":""experimental""}","2026-03-01 21:46:23.8755","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-03-01T21:46:21.000Z"",""totalResponses"":12}"
"67","10","5","{""intelligences"":{""musical"":""0[object Object]"",""spatial"":""0[object Object]"",""linguistic"":""0[object Object]"",""naturalistic"":""0[object Object]"",""interpersonal"":""0[object Object]"",""intrapersonal"":""0[object Object]"",""bodilyKinesthetic"":""0[object Object]"",""logicalMathematical"":""0[object Object]""},""totalResponses"":8,""strongestIntelligence"":""naturalistic""}","2026-03-01 21:57:23.797275","{""section"":""gardner"",""completedAt"":""2026-03-01T21:57:21.583Z"",""totalResponses"":8,""totalIntelligences"":8}"
"74","25","10","{""completionRate"":100,""responsesProvided"":3}","2026-03-01 22:27:03.951894","{""section"":""vision-futuro"",""completedAt"":""2026-03-01T22:27:02.639Z"",""totalSections"":3,""totalResponses"":3}"
"75","25","6","{""completionRate"":100,""responsesProvided"":64}","2026-03-01 22:32:11.295486","{""section"":""proyectivas"",""completedAt"":""2026-03-01T22:31:58.811Z"",""totalQuestions"":64,""totalResponses"":64}"
"76","25","11","{""completionRate"":100,""responsesProvided"":2}","2026-03-01 22:33:06.102322","{""completedAt"":""2026-03-01T22:33:04.892Z"",""totalResponses"":2}"
"77","25","12","{""completed"":true,""completedAt"":""2026-03-01T22:38:16.957Z"",""responsesCount"":9}","2026-03-01 22:38:19.28307","{""section"":""universidad"",""completedAt"":""2026-03-01T22:38:16.957Z"",""totalBlocks"":5,""totalResponses"":9}"
"79","49","2","{""trueResponses"":89,""completionRate"":96.2566844919786,""falseResponses"":91,""totalResponses"":180,""personalityProfile"":{""extroversion"":""low""}}","2026-03-16 21:00:32.219341","{""section"":""mips"",""completedAt"":""2026-03-16T21:00:28.919Z"",""totalQuestions"":180,""totalResponses"":180}"
"80","49","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-03-16 21:06:09.113719","{""section"":""riasec"",""completedAt"":""2026-03-16T21:06:07.120Z"",""totalSections"":4,""totalResponses"":4}"
"81","49","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Expresar mis ideas,Hacer que algo funcione,Oportunidades para probar cosas nuevas,Aspectos técnicos,Trabajar soloEvaluar y testar teorías,Obtener y cuantificar hechos,Oír y compartir ideas,Aplicar análisis y lógica,Elaborar teoríasDebates estructurados por el instructor,Debate en grupo,Lectura de libros-textos,Métodos tradicionales comprobados,Demostraciones¿Cómo?Descubrir,Teorizar,Explorar,CompartirSos de los que comparan mil modelos y miran reviews antes de decidir,Para vos la marca es clave; dice mucho de quién sos,Buscás el último modelo que salió, lo más nuevo de lo más nuevo,Te preocupa cuánto le dura la batería y que no te deje a gamba,Buscás que el celu encaje con tus proyectos (para crear contenido, trabajar o estudiar)Me gusta DescubrirAnalítico,Lógico,Conceptual,TeóricoVago,Sin disciplina,No sabe concentrarse,Habla demasiado,UltrasensibleAnalizo los \""hechos\"" tratándolos de forma lógica y racional.Una visión analítica, lógica, racional, \""de resultados\"".Vamos a ver el cuadro general,Vamos a analizar,Vayamos al punto clave del problema""},""totalResponses"":12,""dominantQuadrant"":""experimental""}","2026-03-16 21:15:01.851817","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-03-16T21:15:00.791Z"",""totalResponses"":12}"
"82","49","5","{""intelligences"":{""musical"":""0[object Object]"",""spatial"":""0[object Object]"",""linguistic"":""0[object Object]"",""naturalistic"":""0[object Object]"",""interpersonal"":""0[object Object]"",""intrapersonal"":""0[object Object]"",""bodilyKinesthetic"":""0[object Object]"",""logicalMathematical"":""0[object Object]""},""totalResponses"":8,""strongestIntelligence"":""naturalistic""}","2026-03-17 00:28:11.539065","{""section"":""gardner"",""completedAt"":""2026-03-17T00:28:09.543Z"",""totalResponses"":8,""totalIntelligences"":8}"
"83","49","6","{""completionRate"":100,""responsesProvided"":64}","2026-03-17 00:51:21.459639","{""section"":""proyectivas"",""completedAt"":""2026-03-17T00:51:19.161Z"",""totalQuestions"":64,""totalResponses"":64}"
"84","50","2","{""trueResponses"":97,""completionRate"":96.2566844919786,""falseResponses"":83,""totalResponses"":180,""personalityProfile"":{""extroversion"":""high""}}","2026-03-17 16:42:48.469757","{""section"":""mips"",""completedAt"":""2026-03-17T16:42:45.718Z"",""totalQuestions"":180,""totalResponses"":180}"
"85","50","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-03-17 16:47:16.094117","{""section"":""riasec"",""completedAt"":""2026-03-17T16:47:15.827Z"",""totalSections"":4,""totalResponses"":4}"
"86","50","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Tener el control de la situación,Expresar mis ideas,Provocar cambios,Prestarle atención a los detalles,Aspectos técnicosEvaluar y testar teorías,Obtener y cuantificar hechos,Aplicar análisis y lógica,Orientaciones claras,Adquirir habilidades por la prácticaDebates estructurados por el instructor,Clases formales,Experiencias,Ejercicios que usan la intuición,Actividades paso a paso con orden claro¿Por qué?Descubrir,Conceptuar,Practicar,ExplorarSe preocupa con el consumo de combustible,Se preocupa con las formas, el color y la tecnología,Verifica los equipos de seguridad y durabilidad,Le da importancia a la 'sensación' de confort del vehículo,Se preocupa con los requisitos técnicosMe gusta DescubrirAnalítico,Experimental,Lógico,PerceptivoQue vive en la luna,No sabe concentrarse,Habla demasiado,Loquito,VagoAnalizo los \""hechos\"" tratándolos de forma lógica y racional.Una visión analítica, lógica, racional, \""de resultados\"".Vayamos al punto clave del problema,Vamos a analizar,Vamos a innovar y crear sinergia""},""totalResponses"":12,""dominantQuadrant"":""experimental""}","2026-03-17 16:50:39.114941","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-03-17T16:50:38.853Z"",""totalResponses"":12}"
"87","50","5","{""intelligences"":{""musical"":""0[object Object]"",""spatial"":""0[object Object]"",""linguistic"":""0[object Object]"",""naturalistic"":""0[object Object]"",""interpersonal"":""0[object Object]"",""intrapersonal"":""0[object Object]"",""bodilyKinesthetic"":""0[object Object]"",""logicalMathematical"":""0[object Object]""},""totalResponses"":8,""strongestIntelligence"":""naturalistic""}","2026-03-17 16:56:07.9701","{""section"":""gardner"",""completedAt"":""2026-03-17T16:56:07.092Z"",""totalResponses"":8,""totalIntelligences"":8}"
"88","50","6","{""completionRate"":100,""responsesProvided"":64}","2026-03-17 17:08:13.864569","{""section"":""proyectivas"",""completedAt"":""2026-03-17T17:08:11.936Z"",""totalQuestions"":64,""totalResponses"":64}"
"89","50","7","{""completionRate"":100,""responsesProvided"":4}","2026-03-17 18:44:36.306961","{""section"":""autodescubrimiento"",""completedAt"":""2026-03-17T18:44:34.082Z"",""totalSections"":3,""totalResponses"":4}"
"90","50","9","{""completionRate"":100,""responsesProvided"":4}","2026-03-17 19:00:02.447251","{""section"":""estilo-vida"",""completedAt"":""2026-03-17T19:00:00.046Z"",""totalSections"":3,""totalResponses"":4}"
"91","50","10","{""completionRate"":100,""responsesProvided"":3}","2026-03-17 19:16:27.049313","{""section"":""vision-futuro"",""completedAt"":""2026-03-17T19:16:25.116Z"",""totalSections"":3,""totalResponses"":3}"
"92","50","11","{""completionRate"":100,""responsesProvided"":2}","2026-03-17 20:11:20.495646","{""completedAt"":""2026-03-17T20:11:18.954Z"",""totalResponses"":2}"
"93","50","12","{""completed"":true,""completedAt"":""2026-03-17T20:12:39.116Z"",""responsesCount"":9}","2026-03-17 20:12:39.365408","{""section"":""universidad"",""completedAt"":""2026-03-17T20:12:39.116Z"",""totalBlocks"":5,""totalResponses"":9}"
"94","51","2","{""trueResponses"":71,""completionRate"":96.2566844919786,""falseResponses"":109,""totalResponses"":180,""personalityProfile"":{""extroversion"":""low""}}","2026-03-19 17:22:18.410492","{""section"":""mips"",""completedAt"":""2026-03-19T17:22:12.413Z"",""totalQuestions"":180,""totalResponses"":180}"
"95","51","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-03-19 17:30:02.402159","{""section"":""riasec"",""completedAt"":""2026-03-19T17:30:01.592Z"",""totalSections"":4,""totalResponses"":4}"
"96","54","2","{""trueResponses"":95,""completionRate"":96.2566844919786,""falseResponses"":85,""totalResponses"":180,""personalityProfile"":{""extroversion"":""high""}}","2026-03-19 17:55:03.298394","{""section"":""mips"",""completedAt"":""2026-03-19T17:55:00.323Z"",""totalQuestions"":180,""totalResponses"":180}"
